Index;Date;Match_Index;Match_Type;Home_Team_Code;Home_Team;Home_score;Away_Score;Away_Team_Code;Away_Team;Home_Score_Index;Away_Score_Index;FIFA_Points_Home;FIFA_Points_Home_Norm;FIFA_Points_Away;FIFA_Points_Away_Norm;Attack_Home;Attack_Away;Defense_Home;Defense_Away;Recent_Home_Trend_1;Recent_Home_Trend_2;Recent_Home_Trend_3;Recent_Home_Trend_4;Recent_Home_Trend_5;Recent_Away_Trend_1;Recent_Away_Trend_2;Recent_Away_Trend_3;Recent_Away_Trend_4;Recent_Away_Trend_5;Encounter_1;Encounter_2;Encounter_3;Encounter_4;Encounter_5
45;11.06.2016;;;ENG;England;1;1;RUS;Russia;0;0;1069;0.696791094;821;0.534381139;2.065;1.679439746;0.805;0.747357294;1;1;1;-1;1;0;-1;-1;1;-1;;;0;;
46;11.06.2016;;;WAL;Wales;2;1;SVK;Slovakia;1;-1;839;0.546168959;784;0.510150622;1.047619048;1.341463415;1.228571429;1.146341463;-1;-1;0;-1;1;0;1;1;0;0;;;0;;
47;11.06.2016;;;ALB;Albania;0;1;SUI;Switzerland;-1;1;632;0.410609037;974;0.634577603;0.975;1.567307692;0.990625;0.974358974;-1;1;1;-1;0;1;-1;-1;-1;1;-1;-1;;;
48;10.06.2016;;;FRA;France;2;1;ROU;Romana;1;-1;907;0.59070072;922;0.600523903;1.446317829;1.394894895;0.821899225;1.061861862;1;1;1;1;-1;1;-1;0;0;1;0;1;0;0;0
49;06.06.2016;;Friendly;ITA;Italy;2;0;FIN;Finland;1;-1;959;0.62475442;558;0.362148003;1.398496241;1.186862245;0.997314715;1.288265306;1;-1;0;0;-1;0;-1;-1;-1;-1;;;0;0;0
50;06.06.2016;;Friendly;POL;Poland;0;0;LTU;Lithuania;0;0;821;0.534381139;254;0.163064833;1.583966565;0.845238095;1.081306991;1.345982143;-1;1;1;1;1;-1;1;-1;-1;-1;1;-1;0;;
51;06.06.2016;;Friendly;ISL;Iceland;4;0;LIE;Liechtenstein;1;-1;724;0.470857891;120;0.075311067;1.241196013;0.364495798;1.273754153;2.428571429;-1;1;-1;-1;-1;-1;0;-1;-1;-1;0;1;;;
52;05.06.2016;;Friendly;BEL;Belgium;3;2;NOR;Norway;1;-1;1352;0.882121807;605;0.392927308;1.707317073;1.078115683;1.146341463;1.15921288;0;1;-1;1;1;1;-1;1;0;-1;;;;;
53;05.06.2016;;Friendly;SVN;Slovenia;0;1;TUR;Turkey;-1;1;558;0.362148003;983;0.640471513;1.351351351;1.513390722;1.135135135;1.078431373;0;-1;1;0;-1;1;-1;1;1;0;1;;;;
54;05.06.2016;;Friendly;CZE;Czech Republic;1;2;KOR;South Korea;-1;1;810;0.527177472;579;0.375900458;1.44047619;0.907142857;1.071428571;0.942857143;1;1;0;-1;-1;-1;-1;0;1;-1;;;;;
55;05.06.2016;;Friendly;SWE;Sweden;3;0;WAL;Wales;1;-1;713;0.463654224;839;0.546168959;1.655737705;1.047619048;1.023028884;1.228571429;0;0;-1;1;0;-1;0;-1;1;-1;1;;;;
56;05.06.2016;;Friendly;RUS;Russia;1;1;SRB;Serbia;0;0;821;0.534381139;581;0.377210216;1.679439746;1.538095238;0.747357294;1.057738095;-1;-1;1;-1;1;1;1;1;-1;-1;0;1;1;;
57;04.06.2016;;Friendly;CRO;Croatia;10;0;SMR;San Marino;1;-1;856;0.557301899;20;0.009823183;1.709302326;0.106060606;0.906976744;4.460227273;1;0;1;1;1;-1;-1;-1;-1;-1;;;1;;
58;04.06.2016;;BtC-26;EST;Estonia;0;0;LVA;Latvia;0;0;366;0.236411264;323;0.208251473;0.887878788;1.044602699;1.438825758;1.428785607;1;-1;-1;0;0;1;1;0;-1;-1;0;0;0;0;-1
59;04.06.2016;;Friendly;FRA;France;3;0;SCO;Scotland;1;-1;907;0.59070072;687;0.446627374;1.446317829;1.21875;0.821899225;1.25;1;1;1;-1;1;-1;1;1;1;0;;;0;0;-1
60;04.06.2016;;Friendly;AUS;Australia;1;0;GRE;Greece;1;-1;601;0.390307793;695;0.451866405;0.9375;1.092948718;1.660714286;0.933150183;-1;0;0;-1;-1;-1;1;0;-1;1;;;0;0;-1
61;04.06.2016;;Friendly;GER;Germany;2;0;HUN;Hungary;1;-1;1309;0.853962017;925;0.60248854;2.407008086;1.488888889;1.035714286;1.277777778;-1;1;-1;-1;1;0;0;1;1;-1;1;;;0;-1
62;04.06.2016;;Friendly;AUT;Austria;0;2;NED;Netherlands;-1;1;1067;0.695481336;931;0.606417813;1.5525;2.158181818;1.483333333;0.9;1;-1;1;-1;1;1;0;1;-1;1;-1;-1;;;-1
63;04.06.2016;;Friendly;SVK;Slovakia;0;0;NIR;North. Ireland;0;0;784;0.510150622;825;0.537000655;1.341463415;0.878787879;1.146341463;1.378787879;1;1;0;0;1;1;1;0;1;0;1;1;;;-1
64;03.06.2016;;Friendly;SUI;Switzerland;2;1;MDA;Moldova;1;-1;974;0.634577603;181;0.115258677;1.567307692;0.916666667;0.974358974;1.470833333;-1;-1;-1;1;-1;-1;1;0;-1;-1;1;1;;;-1
65;03.06.2016;;Friendly;ALB;Albania;1;3;UKR;Ukraine;-1;1;632;0.410609037;880;0.573018991;0.975;1.627002288;0.990625;0.891304348;1;1;-1;0;0;1;1;1;0;1;;;;;-1
66;03.06.2016;;KC-35;JPN;Japan;7;2;BUL;Bulgaria;1;-1;577;0.374590701;508;0.32940406;1.341176471;1.128205128;1.3;1.205128205;0;1;1;0;-1;1;1;1;-1;-1;-1;;;;-1
67;03.06.2016;;KC-35;BIH;Bosnia & Herzegovina;2;2;DEN;Denmark;0;0;913;0.594629993;686;0.445972495;1.766666667;1.33118701;1.233006536;1.18980963;-1;1;1;-1;0;-1;1;0;-1;-1;;;;;-1
68;03.06.2016;;Friendly;CAN;Canada;1;1;AZE;Azerbaijan;0;0;357;0.230517354;269;0.172888016;0.638888889;0.808210784;1.416666667;1.413602941;0;-1;0;0;-1;-1;0;-1;1;-1;;;;;-1
69;03.06.2016;;Friendly;ROU;Romania;5;1;GEO;Georgia;1;-1;922;0.600523903;289;0.185985593;1.394894895;0.87510513;1.061861862;1.370899916;-1;0;0;1;0;-1;0;0;-1;-1;1;;;;-1
70;02.06.2016;;Friendly;ENG;England;1;0;POR;Portugal;1;-1;1069;0.696791094;1184;0.772102161;2.065;1.76443769;0.805;0.912722536;1;1;-1;1;1;1;1;-1;1;-1;;;;;-1
71;02.06.2016;;Friendly;MKD;Macedonia;1;3;IRN;Iran;-1;1;235;0.150622135;672;0.436804191;0.939285714;1.479166667;1.258928571;1.3125;1;-1;-1;-1;1;-1;-1;0;0;-1;0;;;;-1
72;01.06.2016;;Friendly;NOR;Norway;3;2;ISL;Iceland;1;-1;605;0.392927308;724;0.470857891;1.078115683;1.241196013;1.15921288;1.273754153;-1;1;0;-1;-1;1;-1;-1;-1;1;0;-1;1;1;0
73;01.06.2016;;Friendly;CZE;Czech Republic;2;1;RUS;Russia;1;-1;810;0.527177472;821;0.534381139;1.44047619;1.679439746;1.071428571;0.747357294;1;0;-1;-1;1;-1;1;-1;1;1;-1;;;1;0
74;01.06.2016;;Friendly;KOR;South Korea;1;6;ESP;Spain;-1;1;579;0.375900458;1277;0.833005894;0.907142857;2.252192982;0.942857143;0.605769231;-1;0;1;-1;1;1;0;0;1;1;-1;-1;;;0
75;01.06.2016;;Friendly;EST;Estonia;2;0;AND;Andorra;1;-1;366;0.236411264;5;0;0.887878788;0.210727969;1.438825758;2.869731801;-1;-1;0;0;1;0;-1;-1;-1;-1;1;1;;;0
76;01.06.2016;;BtC-26;LVA;Latvia;2;1;LTU;Lithuania;1;-1;323;0.208251473;254;0.163064833;1.044602699;0.845238095;1.428785607;1.345982143;1;0;-1;-1;0;1;-1;-1;-1;0;1;-1;1;1;0
77;01.06.2016;;Friendly;POL;Poland;1;2;NED;Netherlands;-1;1;821;0.534381139;931;0.606417813;1.583966565;2.158181818;1.081306991;0.9;1;1;1;1;1;0;1;-1;1;-1;;;1;1;0
78;01.06.2016;;Friendly;BEL;Belgium;1;1;FIN;Finland;0;0;1352;0.882121807;558;0.362148003;1.707317073;1.186862245;1.146341463;1.288265306;1;-1;1;1;1;-1;-1;-1;-1;0;0;-1;;;0
79;31.05.2016;;Friendly;LUX;Luxembourg;1;3;NGA;Nigeria;-1;1;221;0.141453831;534;0.34643091;0.576048951;0.982142857;2.285839161;1.339285714;-1;-1;-1;1;-1;-1;1;0;0;-1;;;;;0
80;31.05.2016;;Friendly;AUT;Austria;2;1;MLT;Malta;1;-1;1067;0.695481336;149;0.094302554;1.5525;0.608660131;1.483333333;1.926470588;-1;1;-1;1;1;-1;0;-1;-1;-1;1;;;;0
81;31.05.2016;;Friendly;SRB;Serbia;3;1;ISR;Israel;1;-1;581;0.377210216;467;0.302554028;1.538095238;1.545454545;1.057738095;1.424242424;1;1;-1;-1;-1;-1;-1;-1;0;1;1;;;;0
82;31.05.2016;;Friendly;IRL;Rep. of Ireland;1;2;BLR;Belarus;-1;1;792;0.515389653;465;0.30124427;1.359927235;1.296825397;0.963097713;1.146031746;0;0;1;1;0;-1;0;0;0;1;;;;;0
83;30.05.2016;;Friendly;SWE;Sweden;0;0;SVN;Slovenia;0;0;713;0.463654224;558;0.362148003;1.655737705;1.351351351;1.023028884;1.135135135;0;-1;1;0;0;-1;1;0;-1;1;1;;;;0
84;30.05.2016;;Friendly;FRA;France;3;2;CMR;Cameroon;1;-1;907;0.59070072;556;0.360838245;1.446317829;1.055555556;0.821899225;1.277777778;1;1;-1;1;1;-1;1;0;1;-1;;;;;0
85;29.05.2016;;Friendly;BIH;Bosnia & Herzegovina;1;3;ESP;Spain;-1;1;913;0.594629993;1277;0.833005894;1.766666667;2.252192982;1.233006536;0.605769231;1;1;-1;0;1;0;0;1;1;1;-1;-1;;;0
86;29.05.2016;;BtC-26;LTU;Lithuania;2;0;EST;Estonia;1;-1;254;0.163064833;366;0.236411264;0.845238095;0.887878788;1.345982143;1.438825758;-1;-1;-1;0;1;-1;0;0;1;1;-1;1;-1;1;0
87;29.05.2016;;Friendly;ALB;Albania;3;1;QAT;Qatar;1;-1;632;0.410609037;416;0.269155206;0.975;1.090909091;0.990625;1.636363636;1;-1;0;0;1;-1;-1;0;1;1;1;;;1;0
88;29.05.2016;;Friendly;AZE;Azerbaijan;1;3;MKD;Macedonia;-1;1;269;0.172888016;235;0.150622135;0.808210784;0.939285714;1.413602941;1.258928571;0;-1;1;-1;-1;-1;-1;-1;1;0;-1;-1;;;0
89;29.05.2016;;Friendly;GER;Germany;1;3;SVK;Slovakia;-1;1;1309;0.853962017;784;0.510150622;2.407008086;1.341463415;1.035714286;1.146341463;1;-1;-1;1;-1;1;0;0;1;1;;;;;0
90;29.05.2016;;Friendly;ROU;Romania;3;4;UKR;Ukraine;-1;1;922;0.600523903;880;0.573018991;1.394894895;1.627002288;1.061861862;0.891304348;0;0;1;0;1;1;1;0;1;-1;0;-1;;;0
91;29.05.2016;;Friendly;TUR;Turkey;1;0;MNE;Montenegro;1;-1;983;0.640471513;365;0.235756385;1.513390722;1.265625;1.078431373;1.328125;-1;1;1;0;1;0;-1;-1;-1;-1;;;;;0
92;29.05.2016;;Friendly;ITA;Italy;1;0;SCO;Scotland;1;-1;959;0.62475442;687;0.446627374;1.398496241;1.21875;0.997314715;1.25;-1;0;0;-1;1;1;1;1;0;-1;;;;;0
93;29.05.2016;;Friendly;POR;Portugal;3;0;NOR;Norway;1;-1;1184;0.772102161;605;0.392927308;1.76443769;1.078115683;0.912722536;1.15921288;1;-1;1;-1;1;1;0;-1;-1;-1;1;-1;;;0
94;28.05.2016;;Friendly;SUI;Switzerland;1;2;BEL;Belgium;-1;1;974;0.634577603;1352;0.882121807;1.567307692;1.707317073;0.974358974;1.146341463;-1;-1;1;-1;1;-1;1;1;1;1;;;;;0
95;27.05.2016;;Friendly;SVK;Slovakia;3;1;GEO;Georgia;1;-1;784;0.510150622;289;0.185985593;1.341463415;0.87510513;1.146341463;1.370899916;0;0;1;1;1;0;0;-1;-1;1;;;;;0
96;27.05.2016;;Friendly;CZE;Czech Republic;6;0;MLT;Malta;1;-1;810;0.527177472;149;0.094302554;1.44047619;0.608660131;1.071428571;1.926470588;0;-1;-1;1;1;0;-1;-1;-1;0;1;1;1;;
97;27.05.2016;;Friendly;IRL;Rep. of Ireland;1;1;NED;Netherlands;0;0;792;0.515389653;931;0.606417813;1.359927235;2.158181818;0.963097713;0.9;0;1;1;0;-1;1;-1;1;-1;1;;;1;;
98;27.05.2016;;Friendly;CRO;Croatia;1;0;MDA;Moldova;1;-1;856;0.557301899;181;0.115258677;1.709302326;0.916666667;0.906976744;1.470833333;0;1;1;1;1;1;0;-1;-1;-1;1;;;;
99;27.05.2016;;Friendly;ENG;England;2;1;AUS;Australia;1;-1;1069;0.696791094;601;0.390307793;2.065;0.9375;0.805;1.660714286;1;-1;1;1;-1;0;0;-1;-1;-1;;;;;
100;27.05.2016;;Friendly;NIR;North. Ireland;3;0;BLR;Belarus;1;-1;825;0.537000655;465;0.30124427;0.878787879;1.296825397;1.378787879;1.146031746;1;0;1;0;1;0;0;0;1;1;;;;;
101;26.05.2016;;Friendly;AZE;Azerbaijan;0;0;AND;Andorra;0;0;269;0.172888016;5;0;0.808210784;0.210727969;1.413602941;2.869731801;-1;1;-1;-1;0;-1;-1;-1;-1;-1;0;1;;;
102;25.05.2016;;Friendly;SRB;Serbia;2;1;CYP;Cyprus;1;-1;581;0.377210216;426;0.275703995;1.538095238;0.903846154;1.057738095;1.767032967;1;-1;-1;-1;1;-1;-1;1;-1;-1;1;0;1;;
103;22.05.2016;;Friendly;ENG;England;2;1;TUR;Turkey;1;-1;1069;0.696791094;983;0.640471513;2.065;1.513390722;0.805;1.078431373;-1;1;1;-1;1;1;1;0;1;1;;;1;;
104;20.05.2016;;Friendly;HUN;Hungary;0;0;CIV;C?te d`Ivoire;0;0;925;0.60248854;738;0.480026195;1.488888889;1.45;1.277777778;1.5875;0;1;1;-1;1;-1;-1;-1;0;1;;;1;;
105;29.03.2016;;Friendly;MNE;Montenegro;0;0;BLR;Belarus;0;0;365;0.235756385;465;0.30124427;1.265625;1.296825397;1.328125;1.146031746;-1;-1;-1;-1;1;0;0;1;1;-1;0;1;;;
106;29.03.2016;;Friendly;SUI;Switzerland;0;2;BIH;Bosnia & Herzegovina;-1;1;974;0.634577603;913;0.594629993;1.567307692;1.766666667;0.974358974;1.233006536;-1;1;-1;1;1;1;-1;0;1;1;;;;;
107;29.03.2016;;Friendly;NOR;Norway;2;0;FIN;Finland;1;-1;605;0.392927308;558;0.362148003;1.078115683;1.186862245;1.15921288;1.288265306;0;-1;-1;-1;1;-1;-1;-1;0;0;1;;;;
108;29.03.2016;;Friendly;MKD;Macedonia;0;2;BUL;Bulgaria;-1;1;235;0.150622135;508;0.32940406;0.939285714;1.128205128;1.258928571;1.205128205;-1;-1;1;0;-1;1;1;-1;-1;-1;1;;;;
109;29.03.2016;;Friendly;GER;Germany;4;1;ITA;Italy;1;-1;1309;0.853962017;959;0.62475442;2.407008086;1.398496241;1.035714286;0.997314715;-1;-1;1;-1;1;0;0;-1;1;1;0;-1;0;;
110;29.03.2016;;Friendly;EST;Estonia;0;1;SRB;Serbia;-1;1;366;0.236411264;581;0.377210216;0.887878788;1.538095238;1.438825758;1.057738095;0;0;1;1;-1;-1;-1;-1;1;-1;0;1;;;
111;29.03.2016;;Friendly;GEO;Georgia;1;1;KAZ;Kazakhstan;0;0;289;0.185985593;300;0.19318926;0.87510513;0.901115619;1.370899916;1.969066937;0;-1;-1;1;-1;1;1;-1;0;-1;-1;;;;
112;29.03.2016;;Friendly;GRE;Greece;2;3;ISL;Iceland;-1;1;695;0.451866405;724;0.470857891;1.092948718;1.241196013;0.933150183;1.273754153;1;0;-1;1;-1;-1;-1;-1;1;-1;;;;;
113;29.03.2016;;Friendly;SWE;Sweden;1;1;CZE;Czech Republic;0;0;713;0.463654224;810;0.527177472;1.655737705;1.44047619;1.023028884;1.071428571;-1;1;0;0;1;-1;-1;1;1;-1;;;;;
114;29.03.2016;;Friendly;AUT;Austria;1;2;TUR;Turkey;-1;1;1067;0.695481336;983;0.640471513;1.5525;1.513390722;1.483333333;1.078431373;1;-1;1;1;1;1;0;1;1;1;1;0;-1;-1;
115;29.03.2016;;Friendly;IRL;Rep. of Ireland;2;2;SVK;Slovakia;0;0;792;0.515389653;784;0.510150622;1.359927235;1.341463415;0.963097713;1.146341463;1;1;0;-1;1;0;1;1;1;-1;0;0;;;
116;29.03.2016;;Friendly;POR;Portugal;2;1;BEL;Belgium;1;-1;1184;0.772102161;1352;0.882121807;1.76443769;1.707317073;0.912722536;1.146341463;-1;1;-1;1;1;1;1;1;1;1;;;;;
117;29.03.2016;;Friendly;FRA;France;4;2;RUS;Russia;1;-1;907;0.59070072;821;0.534381139;1.446317829;1.679439746;0.821899225;0.747357294;1;-1;1;1;1;1;-1;1;1;1;;;;;
118;29.03.2016;;Friendly;ENG;England;1;2;NED;Netherlands;-1;1;1069;0.696791094;931;0.606417813;2.065;2.158181818;0.805;0.9;1;1;-1;1;1;-1;1;-1;1;-1;-1;0;;;
119;29.03.2016;;Friendly;SCO;Scotland;1;0;DEN;Denmark;1;-1;687;0.446627374;686;0.445972495;1.21875;1.33118701;1.25;1.18980963;1;1;0;-1;-1;1;0;-1;-1;-1;1;;;;
